2024/04/02 03:00:51 PM Namespace(run_name='MDM_Adventure', seed=0, dynamic=0, lr=0.0005, env_name='AdventureNoFrameskip-v4', num_workers=32, num_steps=400, max_steps=100000000, cuda=True, grad_clip=5.0, entropy_coef=0.01, gamma_5=0.999, gamma_4=0.999, gamma_3=0.999, gamma_2=0.999, gamma_1=0.99, alpha=0.5, eps=1e-07, hidden_dim_Hierarchies=[16, 256, 256, 256, 256], time_horizon_Hierarchies=[1, 10, 15, 20, 25], lambda_policy_im=0.1, hierarchy_eps=1e-10)
2024/04/02 03:01:14 PM > ep = 1 | total steps = 7968 | reward = 0.0 | length = 250 | hours = 0.007
2024/04/02 03:01:20 PM > ep = 2 | total steps = 12064 | reward = 0.0 | length = 378 | hours = 0.008
2024/04/02 03:01:27 PM > ep = 3 | total steps = 13920 | reward = 0.0 | length = 436 | hours = 0.010
2024/04/02 03:01:27 PM > ep = 4 | total steps = 14656 | reward = 0.0 | length = 459 | hours = 0.010
2024/04/02 03:01:28 PM > ep = 5 | total steps = 15200 | reward = 0.0 | length = 476 | hours = 0.010
2024/04/02 03:01:28 PM > ep = 6 | total steps = 15232 | reward = 0.0 | length = 477 | hours = 0.010
2024/04/02 03:01:29 PM > ep = 7 | total steps = 15680 | reward = 0.0 | length = 491 | hours = 0.011
2024/04/02 03:01:29 PM > ep = 8 | total steps = 15904 | reward = 0.0 | length = 498 | hours = 0.011
2024/04/02 03:01:30 PM > ep = 9 | total steps = 16384 | reward = 0.0 | length = 513 | hours = 0.011
2024/04/02 03:01:30 PM > ep = 10 | total steps = 16832 | reward = 0.0 | length = 149 | hours = 0.011
2024/04/02 03:01:31 PM > ep = 11 | total steps = 17600 | reward = 0.0 | length = 551 | hours = 0.011
2024/04/02 03:01:32 PM > ep = 12 | total steps = 18176 | reward = 0.0 | length = 569 | hours = 0.012
2024/04/02 03:01:33 PM > ep = 13 | total steps = 18464 | reward = 0.0 | length = 578 | hours = 0.012
2024/04/02 03:01:33 PM > ep = 14 | total steps = 18816 | reward = 0.0 | length = 589 | hours = 0.012
2024/04/02 03:01:34 PM > ep = 15 | total steps = 19136 | reward = 0.0 | length = 599 | hours = 0.012
2024/04/02 03:01:34 PM > ep = 16 | total steps = 19264 | reward = 0.0 | length = 603 | hours = 0.012
2024/04/02 03:01:34 PM > ep = 17 | total steps = 19456 | reward = 0.0 | length = 609 | hours = 0.012
2024/04/02 03:01:35 PM > ep = 18 | total steps = 20448 | reward = 0.0 | length = 640 | hours = 0.012
2024/04/02 03:01:36 PM > ep = 19 | total steps = 20672 | reward = 0.0 | length = 397 | hours = 0.013
2024/04/02 03:01:38 PM > ep = 20 | total steps = 22304 | reward = 0.0 | length = 698 | hours = 0.013
2024/04/02 03:01:39 PM > ep = 21 | total steps = 23424 | reward = 0.0 | length = 257 | hours = 0.014
2024/04/02 03:01:39 PM > ep = 22 | total steps = 23488 | reward = 0.0 | length = 735 | hours = 0.014
2024/04/02 03:01:40 PM > ep = 23 | total steps = 23648 | reward = 0.0 | length = 281 | hours = 0.014
2024/04/02 03:01:41 PM > ep = 24 | total steps = 24288 | reward = 0.0 | length = 760 | hours = 0.014
2024/04/02 03:01:41 PM > ep = 25 | total steps = 24480 | reward = 0.0 | length = 766 | hours = 0.014
2024/04/02 03:01:50 PM > ep = 26 | total steps = 28448 | reward = 0.0 | length = 301 | hours = 0.016
2024/04/02 03:01:54 PM > ep = 27 | total steps = 31808 | reward = 0.0 | length = 482 | hours = 0.018
2024/04/02 03:01:56 PM > ep = 28 | total steps = 33888 | reward = 0.0 | length = 1060 | hours = 0.018
2024/04/02 03:01:58 PM > ep = 29 | total steps = 35424 | reward = 0.0 | length = 1108 | hours = 0.019
2024/04/02 03:01:59 PM > ep = 30 | total steps = 35808 | reward = 0.0 | length = 643 | hours = 0.019
2024/04/02 03:01:59 PM > ep = 31 | total steps = 35872 | reward = 0.0 | length = 1122 | hours = 0.019
2024/04/02 03:02:02 PM > ep = 32 | total steps = 38016 | reward = 0.0 | length = 549 | hours = 0.020
2024/04/02 03:02:02 PM > ep = 33 | total steps = 38016 | reward = 0.0 | length = 662 | hours = 0.020
2024/04/02 03:02:07 PM > ep = 34 | total steps = 38848 | reward = 0.0 | length = 1215 | hours = 0.021
2024/04/02 03:02:52 PM > ep = 35 | total steps = 70848 | reward = 0.0 | length = 2215 | hours = 0.034
2024/04/02 03:02:53 PM > ep = 36 | total steps = 71328 | reward = 0.0 | length = 1652 | hours = 0.034
2024/04/02 03:02:55 PM > ep = 37 | total steps = 73280 | reward = 0.0 | length = 1231 | hours = 0.035
2024/04/02 03:02:59 PM > ep = 38 | total steps = 76672 | reward = 0.0 | length = 1699 | hours = 0.036
2024/04/02 03:03:04 PM > ep = 39 | total steps = 77120 | reward = 0.0 | length = 181 | hours = 0.037
2024/04/02 03:03:04 PM > ep = 40 | total steps = 77632 | reward = 0.0 | length = 1692 | hours = 0.037
2024/04/02 03:03:04 PM > ep = 41 | total steps = 77696 | reward = 0.0 | length = 1830 | hours = 0.037
2024/04/02 03:03:05 PM > ep = 42 | total steps = 78080 | reward = 0.0 | length = 1321 | hours = 0.037
2024/04/02 03:03:05 PM > ep = 43 | total steps = 78080 | reward = 0.0 | length = 150 | hours = 0.037
2024/04/02 03:03:05 PM > ep = 44 | total steps = 78336 | reward = 0.0 | length = 1880 | hours = 0.037
2024/04/02 03:03:05 PM > ep = 45 | total steps = 78560 | reward = 0.0 | length = 241 | hours = 0.037
2024/04/02 03:03:06 PM > ep = 46 | total steps = 79488 | reward = 0.0 | length = 1876 | hours = 0.038
2024/04/02 03:03:07 PM > ep = 47 | total steps = 79776 | reward = 0.0 | length = 97 | hours = 0.038
2024/04/02 03:03:07 PM > ep = 48 | total steps = 80288 | reward = 0.0 | length = 99 | hours = 0.038
2024/04/02 03:03:08 PM > ep = 49 | total steps = 80384 | reward = 0.0 | length = 86 | hours = 0.038
2024/04/02 03:03:08 PM > ep = 50 | total steps = 80640 | reward = 0.0 | length = 92 | hours = 0.038
2024/04/02 03:03:08 PM > ep = 51 | total steps = 80992 | reward = 0.0 | length = 91 | hours = 0.038
2024/04/02 03:03:08 PM > ep = 52 | total steps = 80992 | reward = 0.0 | length = 91 | hours = 0.038
2024/04/02 03:03:09 PM > ep = 53 | total steps = 81088 | reward = 0.0 | length = 86 | hours = 0.038
2024/04/02 03:03:09 PM > ep = 54 | total steps = 81440 | reward = 0.0 | length = 90 | hours = 0.038
2024/04/02 03:03:10 PM > ep = 55 | total steps = 82432 | reward = 0.0 | length = 92 | hours = 0.039
2024/04/02 03:03:11 PM > ep = 56 | total steps = 82592 | reward = 0.0 | length = 88 | hours = 0.039
2024/04/02 03:03:11 PM > ep = 57 | total steps = 83136 | reward = 0.0 | length = 89 | hours = 0.039
2024/04/02 03:03:11 PM > ep = 58 | total steps = 83200 | reward = 0.0 | length = 88 | hours = 0.039
2024/04/02 03:03:12 PM > ep = 59 | total steps = 83424 | reward = 0.0 | length = 87 | hours = 0.039
2024/04/02 03:03:12 PM > ep = 60 | total steps = 83904 | reward = 0.0 | length = 91 | hours = 0.039
2024/04/02 03:03:12 PM > ep = 61 | total steps = 84000 | reward = 0.0 | length = 91 | hours = 0.039
2024/04/02 03:03:13 PM > ep = 62 | total steps = 84128 | reward = 0.0 | length = 98 | hours = 0.039
